{'epochs': 100, 'learning_rate': 0.022476530612244902, 'neurons': 236, 'hidden_layers': 5, 'activation_function': 'relu', 'batch_size': 8} mse: 12.860381720840465 mae: 2.711680482614947
{'epochs': 100, 'learning_rate': 0.005146938775510204, 'neurons': 150, 'hidden_layers': 10, 'activation_function': 'relu', 'batch_size': 64} mse: 12.323732552328428 mae: 2.7087194845027422
{'epochs': 100, 'learning_rate': 0.0031081632653061227, 'neurons': 215, 'hidden_layers': 6, 'activation_function': 'relu', 'batch_size': 16} mse: 19.359932775436434 mae: 3.3846013849308583
{'epochs': 100, 'learning_rate': 0.026554081632653062, 'neurons': 183, 'hidden_layers': 11, 'activation_function': 'relu', 'batch_size': 64} mse: 28.916465634560872 mae: 3.9765257140636106
{'epochs': 100, 'learning_rate': 0.0449030612244898, 'neurons': 180, 'hidden_layers': 3, 'activation_function': 'relu', 'batch_size': 64} mse: 19.974509649269955 mae: 3.454690333029524
{'epochs': 100, 'learning_rate': 0.037767346938775516, 'neurons': 143, 'hidden_layers': 5, 'activation_function': 'relu', 'batch_size': 32} mse: 15.468188873486223 mae: 3.089824310328491
{'epochs': 100, 'learning_rate': 0.01941836734693878, 'neurons': 190, 'hidden_layers': 5, 'activation_function': 'relu', 'batch_size': 8} mse: 26.92609258297918 mae: 3.9789955980318528
{'epochs': 100, 'learning_rate': 0.03267040816326531, 'neurons': 157, 'hidden_layers': 4, 'activation_function': 'relu', 'batch_size': 16} mse: 18.09895439120837 mae: 3.3313454941137515
{'epochs': 100, 'learning_rate': 0.016360204081632655, 'neurons': 248, 'hidden_layers': 12, 'activation_function': 'relu', 'batch_size': 8} mse: 59.612237340605844 mae: 5.6717773507314115
{'epochs': 100, 'learning_rate': 0.007185714285714286, 'neurons': 213, 'hidden_layers': 3, 'activation_function': 'relu', 'batch_size': 32} mse: 11.309529515302343 mae: 2.5521986703120314
{'epochs': 100, 'learning_rate': 0.006166326530612245, 'neurons': 197, 'hidden_layers': 7, 'activation_function': 'relu', 'batch_size': 8} mse: 25.716841530274564 mae: 3.817727708782638
{'epochs': 100, 'learning_rate': 0.007185714285714286, 'neurons': 147, 'hidden_layers': 10, 'activation_function': 'relu', 'batch_size': 8} mse: 39.503173209965105 mae: 4.823422796944819
{'epochs': 100, 'learning_rate': 0.026554081632653062, 'neurons': 134, 'hidden_layers': 8, 'activation_function': 'relu', 'batch_size': 32} mse: 34.5125489794115 mae: 4.392832177534286
{'epochs': 100, 'learning_rate': 0.029612244897959186, 'neurons': 241, 'hidden_layers': 10, 'activation_function': 'relu', 'batch_size': 32} mse: 102.26899227963835 mae: 7.239550042847157
{'epochs': 100, 'learning_rate': 0.01126326530612245, 'neurons': 214, 'hidden_layers': 3, 'activation_function': 'relu', 'batch_size': 64} mse: 9.0293107239507 mae: 2.3083862856761224
{'epochs': 100, 'learning_rate': 0.028592857142857146, 'neurons': 234, 'hidden_layers': 9, 'activation_function': 'relu', 'batch_size': 64} mse: 14.694633028400478 mae: 2.9613964825381434
{'epochs': 100, 'learning_rate': 0.02043775510204082, 'neurons': 152, 'hidden_layers': 12, 'activation_function': 'relu', 'batch_size': 16} mse: 68.9834992680553 mae: 6.149347552019565
{'epochs': 100, 'learning_rate': 0.03165102040816327, 'neurons': 194, 'hidden_layers': 5, 'activation_function': 'relu', 'batch_size': 16} mse: 10.729655540319902 mae: 2.4661008771125017
{'epochs': 100, 'learning_rate': 0.026554081632653062, 'neurons': 133, 'hidden_layers': 7, 'activation_function': 'relu', 'batch_size': 8} mse: 51.382776597923815 mae: 5.155500549243203
{'epochs': 100, 'learning_rate': 0.04592244897959184, 'neurons': 158, 'hidden_layers': 7, 'activation_function': 'relu', 'batch_size': 64} mse: 19.97410701298934 mae: 3.6152244732578174
{'epochs': 100, 'learning_rate': 0.005146938775510204, 'neurons': 184, 'hidden_layers': 9, 'activation_function': 'relu', 'batch_size': 8} mse: 27.565483529769367 mae: 3.873640789745035
{'epochs': 100, 'learning_rate': 0.03165102040816327, 'neurons': 143, 'hidden_layers': 9, 'activation_function': 'relu', 'batch_size': 64} mse: 43.01644590007725 mae: 5.07317731663447
{'epochs': 100, 'learning_rate': 0.010243877551020408, 'neurons': 143, 'hidden_layers': 5, 'activation_function': 'relu', 'batch_size': 8} mse: 17.990659317905884 mae: 3.173269476209368
{'epochs': 100, 'learning_rate': 0.04796122448979592, 'neurons': 146, 'hidden_layers': 5, 'activation_function': 'relu', 'batch_size': 32} mse: 15.266298260177038 mae: 3.027479407460281
{'epochs': 100, 'learning_rate': 0.040825510204081636, 'neurons': 139, 'hidden_layers': 9, 'activation_function': 'relu', 'batch_size': 8} mse: 74.08989974227288 mae: 6.324902870338185
{'epochs': 100, 'learning_rate': 0.023495918367346942, 'neurons': 230, 'hidden_layers': 7, 'activation_function': 'relu', 'batch_size': 8} mse: 24.846951756480745 mae: 3.6780611111411154
{'epochs': 100, 'learning_rate': 0.03572857142857143, 'neurons': 156, 'hidden_layers': 7, 'activation_function': 'relu', 'batch_size': 8} mse: 38.06720110331348 mae: 4.750145713234083
{'epochs': 100, 'learning_rate': 0.0010693877551020408, 'neurons': 193, 'hidden_layers': 5, 'activation_function': 'relu', 'batch_size': 64} mse: 9.014911962724698 mae: 2.231594177536195
{'epochs': 100, 'learning_rate': 0.041844897959183676, 'neurons': 240, 'hidden_layers': 7, 'activation_function': 'relu', 'batch_size': 64} mse: 10.913795524738152 mae: 2.5621583236390677
{'epochs': 100, 'learning_rate': 5e-05, 'neurons': 191, 'hidden_layers': 4, 'activation_function': 'relu', 'batch_size': 32} mse: 10.126344803469182 mae: 2.512737919611548
{'epochs': 100, 'learning_rate': 0.023495918367346942, 'neurons': 169, 'hidden_layers': 4, 'activation_function': 'relu', 'batch_size': 32} mse: 13.581088816433319 mae: 2.9563830968074623
{'epochs': 100, 'learning_rate': 0.043883673469387756, 'neurons': 138, 'hidden_layers': 4, 'activation_function': 'relu', 'batch_size': 64} mse: 19.18085389045764 mae: 3.464261147852222
{'epochs': 100, 'learning_rate': 0.01941836734693878, 'neurons': 189, 'hidden_layers': 12, 'activation_function': 'relu', 'batch_size': 16} mse: 98.76678194589621 mae: 7.178664711069027
{'epochs': 100, 'learning_rate': 0.042864285714285716, 'neurons': 231, 'hidden_layers': 12, 'activation_function': 'relu', 'batch_size': 8} mse: 88.44175510365825 mae: 6.962013152447167
{'epochs': 100, 'learning_rate': 0.01126326530612245, 'neurons': 208, 'hidden_layers': 4, 'activation_function': 'relu', 'batch_size': 16} mse: 12.169632915071164 mae: 2.6365867523581064
{'epochs': 100, 'learning_rate': 0.010243877551020408, 'neurons': 216, 'hidden_layers': 5, 'activation_function': 'relu', 'batch_size': 8} mse: 25.27324194999646 mae: 3.820792134467303
{'epochs': 100, 'learning_rate': 0.023495918367346942, 'neurons': 232, 'hidden_layers': 6, 'activation_function': 'relu', 'batch_size': 32} mse: 13.188153306897346 mae: 2.811449620938928
{'epochs': 100, 'learning_rate': 0.03674795918367347, 'neurons': 160, 'hidden_layers': 3, 'activation_function': 'relu', 'batch_size': 32} mse: 17.464595411039024 mae: 3.286180067841856
