([0.5796516848182678, 0.665920000114441], 'relu', 1, 3, 'softmax', 0.5873128378097665)
([0.08806578919827007, 0.9683200000190735], 'relu', 3, 22, 'softmax', 0.8732087350144874)
([0.18151836831092835, 0.9296000000190735], 'relu', 1, 21, 'softmax', 0.7907317589354109)
([0.05558847976222634, 0.97728], 'relu', 3, 58, 'softmax', 0.9084564772428847)
([0.13016865067481995, 0.9488000000190735], 'relu', 1, 35, 'softmax', 0.8213889920908659)
([0.06615893636240625, 0.97856], 'relu', 3, 39, 'softmax', 0.9086384232951786)
([0.07324986659258605, 0.97248], 'relu', 7, 30, 'softmax', 0.8938639729547124)
([0.15066871166706086, 0.9420800000190734], 'relu', 2, 8, 'softmax', 0.8150615579602072)
([0.06577209555722772, 0.9731200000190735], 'relu', 2, 35, 'softmax', 0.8966638429635567)
([0.0875743283729651, 0.9724800000190735], 'relu', 3, 40, 'softmax', 0.8955462491659649)
([0.5991692538928985, 0.7052800000953674], 'relu', 7, 5, 'softmax', 0.5521298206084474)
([0.24612603784561157, 0.8995200000190735], 'relu', 2, 7, 'softmax', 0.7571459531205026)
([0.07168780748868361, 0.97664], 'relu', 5, 29, 'softmax', 0.8994985190848479)
([0.049640640025138856, 0.98016], 'relu', 4, 29, 'softmax', 0.9178566227666314)
([0.11625397632837295, 0.9558400000190734], 'relu', 2, 16, 'softmax', 0.8409657512177274)
([0.06651319673135876, 0.97792], 'relu', 6, 41, 'softmax', 0.9074508925579068)
([0.12810093278884888, 0.9494400000190735], 'relu', 1, 41, 'softmax', 0.8227570331054794)
([0.04326958069607616, 0.9824], 'relu', 6, 56, 'softmax', 0.9290161083718171)
([0.12805400063097477, 0.9536000000190735], 'relu', 3, 11, 'softmax', 0.844539189211939)
([0.08429192773140967, 0.970880000038147], 'relu', 4, 20, 'softmax', 0.8904563698484584)
([0.08773456663763617, 0.97568], 'relu', 3, 62, 'softmax', 0.892399394884238)
([0.23453020161151886, 0.916800000038147], 'relu', 6, 5, 'softmax', 0.7660719923910397)
([1.3551037691116332, 0.09568000000596047], 'relu', 7, 3, 'softmax', 0.0436623831775701)
