([0.09299777369567332, 0.9669392108069677], 'relu', 4, 21, 'softmax', 0.8451887586106397)
([0.47492819708244594, 0.8044792035064195], 'relu', 4, 5, 'softmax', 0.6384623141451697)
([0.08222495984339084, 0.9655172413793104], 'relu', 2, 47, 'softmax', 0.84811178160793)
([0.1984290454249963, 0.9242801279772485], 'relu', 2, 7, 'softmax', 0.7743761396593589)
([0.04404562209095228, 0.982580874511198], 'relu', 3, 43, 'softmax', 0.9043768882355078)
([0.1823280088024441, 0.9242801279772485], 'relu', 1, 24, 'softmax', 0.7649961455408814)
([0.6364958410029135, 0.7813722003069883], 'relu', 5, 4, 'softmax', 0.47913611173447923)
([0.050080459191403526, 0.9811589050835408], 'relu', 7, 50, 'softmax', 0.903003754250186)
([0.06063696516301945, 0.9761820120867402], 'relu', 5, 23, 'softmax', 0.876604080735845)
([0.0871274372333091, 0.9648062566654817], 'relu', 2, 24, 'softmax', 0.8441245734860898)
([0.04965591133051563, 0.9786704585851405], 'relu', 5, 40, 'softmax', 0.8849050862349735)
([0.041203366842322404, 0.9836473515819409], 'relu', 4, 63, 'softmax', 0.9135048223728508)
([0.2709565943314264, 0.9025950942054746], 'relu', 5, 6, 'softmax', 0.7399675220250808)
([0.20380702564327946, 0.9214361891219339], 'relu', 1, 45, 'softmax', 0.7594096547247864)
([0.15465787975739992, 0.9377888375399929], 'relu', 1, 57, 'softmax', 0.7852402499461323)
([0.2537311914330895, 0.8972627088517597], 'relu', 1, 9, 'softmax', 0.7265890399202248)
([0.07080628240104293, 0.9708496267330252], 'relu', 3, 31, 'softmax', 0.8818731772505968)
([1.3956114757624631, 0.007820831852115179], 'relu', 5, 2, 'softmax', 0.0038800705467372134)
([0.16771660827996174, 0.9338784216139353], 'relu', 1, 61, 'softmax', 0.779723388925025)
([0.10043797638592811, 0.9559189477426235], 'relu', 6, 8, 'softmax', 0.8229941366396529)
([0.6608262870856718, 0.6299324567276432], 'relu', 7, 3, 'softmax', 0.2541501859325762)
([0.06990576329554508, 0.9754710273729115], 'relu', 7, 28, 'softmax', 0.8709273163320409)
([0.17443223101581215, 0.9296125133309634], 'relu', 1, 38, 'softmax', 0.7695820320996423)
([0.04106752667119032, 0.9836473515819409], 'relu', 6, 51, 'softmax', 0.8902722844663312)
([0.04981163989865532, 0.9804479203697121], 'relu', 6, 26, 'softmax', 0.9101884682888939)
([0.7643780335810445, 0.6192676854481105], 'relu', 3, 3, 'softmax', 0.30914371949630765)
([0.041780708834056185, 0.9857803057234269], 'relu', 6, 48, 'softmax', 0.912996117079642)
([0.056875718691391894, 0.9765375044436545], 'relu', 5, 55, 'softmax', 0.8826075572064878)
