LOSS  - MODEL PARAMS - ACTIVATION - LAYERS - NODES - FINAL_LAYER_ACTIVATION
([0.062459415884017946, 0.18503283437728882], 'tanh', 1, 1, 'linear')
([0.05424473346590996, 0.15843249256372452], 'tanh', 1, 2, 'linear')
([0.06250460162147879, 0.1748018150138855], 'tanh', 1, 3, 'linear')
([0.05836620818883181, 0.17645854824185372], 'tanh', 1, 4, 'linear')
([0.060127756816893814, 0.17301111571907998], 'tanh', 1, 5, 'linear')
([0.06268588408172131, 0.17368222853660584], 'tanh', 1, 6, 'linear')
([0.0666897752070427, 0.17632077410936356], 'tanh', 1, 7, 'linear')
([0.06663098104342818, 0.17848927464008332], 'tanh', 1, 8, 'linear')
([0.059278255263864994, 0.1706777792787552], 'tanh', 1, 9, 'linear')
([0.05993647835731506, 0.16430873363494872], 'tanh', 2, 1, 'linear')
([0.05419922123879194, 0.15681429364919663], 'tanh', 2, 2, 'linear')
([0.07200424278095365, 0.20819255364060402], 'tanh', 2, 3, 'linear')
([0.05662366969153285, 0.16508088066339494], 'tanh', 2, 4, 'linear')
([0.06732517913803458, 0.19257053040742875], 'tanh', 2, 5, 'linear')
([0.05669826486244798, 0.15802930736780166], 'tanh', 2, 6, 'linear')
([0.061780458196997644, 0.17299685623645783], 'tanh', 2, 7, 'linear')
([0.06008695027567446, 0.1621619360756874], 'tanh', 2, 8, 'linear')
([0.055973174960017205, 0.1651971109008789], 'tanh', 2, 9, 'linear')
([0.05939986481964588, 0.1561800643104315], 'tanh', 3, 1, 'linear')
([0.04379101269736886, 0.13852416481614113], 'tanh', 3, 2, 'linear')
([0.044927339837551115, 0.15608503790855408], 'tanh', 3, 3, 'linear')
([0.06063619254261255, 0.1503798173379898], 'tanh', 3, 4, 'linear')
([0.0441931817638874, 0.1418305156981945], 'tanh', 3, 5, 'linear')
([0.05776657748043537, 0.166383742787838], 'tanh', 3, 6, 'linear')
([0.052315955591499805, 0.15572778381347657], 'tanh', 3, 7, 'linear')
([0.07301171279639006, 0.17109669061422347], 'tanh', 3, 8, 'linear')
([0.04506010492935777, 0.14336630337834358], 'tanh', 3, 9, 'linear')
([0.04949468109682202, 0.14612612498164176], 'tanh', 4, 1, 'linear')
